AGM000005,开户日期,Account opening date
AGM000007,开户机构编号,Account opening agency
AGM000008,开户柜员编号,Account opening teller
AGM000009,归属机构编号,Belong branch
AGM000010,账户收费标准,Account charge standard
AGM000011,账户管理费收取方式代码,Account management fee toll mode
AGM000012,所属科目编号,Subject number
AGM000013,账户余额,Account balance
AGM000014,账户余额方向代码,Account balance direction
AGM000015,借方累计发生额,Debit accumulated amount
AGM000016,贷方累计发生额,Credit accumulated amount
AGM000017,存款账户类型代码,Type of deposit account
AGM000018,开户凭证种类代码,Type of account opening certificate
AGM000019,开户凭证编号,Account opening certificate number
AGM000021,专用户资金性质代码,Special account fund character
AGM000022,外汇账户性质代码,Nature of foreign exchange accounts
AGM000023,个人外汇账户类型代码,Types of individual foreign exchange accounts
AGM000024,存款账户状态代码,Deposit account status
AGM000025,利率种类代码,Type of interest rate
AGM000026,存款执行利率,Deposit exercise interest rate
AGM000027,起息日期,Value  date
AGM000028,存款计息方式代码,Deposit Interest Accrual Type
AGM000029,存款计息期限代码,Deposit Interest Accrual Terms
AGM000032,未付利息,Unpaid Interest
AGM000033,零余额账户标志,Zero balance account flag
AGM000034,最高账户余额,Ceiling of account balance
AGM000035,通存通兑标志,USW flag
AGM000036,临时存款账户到期日期,Temporary deposit account due date
AGM000038,允许提前支取标志,Allow early withdrawal flag
AGM000039,贷款账户状态代码,Loan account status
AGM000040,应计非应计标志,Accrual or nonaccrual indicator
AGM000041,首次还本日期,First principal returned date
AGM000042,首次还息日期,First interest returned date
AGM000043,贷款计息方式代码,Loan Interest Accrual Type
AGM000045,新还款日,New Repay Day
AGM000046,本期应还款金额,Amount of should-return for the current period
AGM000047,本期实际已还款金额,Current Period Actual Already Repay Amount
AGM000048,应收利息,Accrued interest receivable
AGM000050,逾期利息,Interest of overdue
AGM000051,本金逾期天数,Principal overdue days
AGM000052,利息逾期天数,Interest overdue days
AGM000053,逾期期数,Number of overdue periods
AGM000054,应还未还本金罚息,Should-return default interest of overdue principal
AGM000055,应还未还利息罚息,Should-return default interest of overdue interest
AGM000056,应还未还复利,Should-return compound interest
